部门名称,上级部门,部门类型
总经理, ,职能
行政管理部,总经理,职能
人力资源部,总经理,职能
财务部,总经理,职能
信息技术部,总经理,职能
市场营销部,总经理,营销
销售部,总经理,业务
客户服务部,总经理,业务
研发中心,总经理,职能
生产部,总经理,业务
质量管理部,总经理,职能
采购部,总经理,业务
行政专员,行政管理部,职能
行政助理,行政管理部,职能
招聘专员,人力资源部,职能
培训专员,人力资源部,职能
薪酬专员,人力资源部,职能
会计,财务部,职能
出纳,财务部,职能
财务分析,财务部,职能
系统管理员,信息技术部,职能
网络工程师,信息技术部,职能
软件开发,信息技术部,职能
市场策划,市场营销部,职能
品牌推广,市场营销部,营销
数字营销,市场营销部,营销
区域经理,销售部,业务
大客户经理,销售部,业务
客服专员,客户服务部,业务
客服主管,客户服务部,业务
产品经理,研发中心,职能
测试工程师,研发中心,职能
前端开发,研发中心,职能
后端开发,研发中心,职能
车间主任,生产部,业务
班组长,生产部,业务
工艺工程师,生产部,业务
质检员,质量管理部,职能
质量工程师,质量管理部,职能
采购专员,采购部,业务
供应商管理,采购部,业务
